date,trade_code,high,low,open,close,volume
2020-07-26,ACFL,19.4,18.6,19,18.6,"163,363"
2020-07-23,ACFL,19.2,18.6,18.6,18.9,"188,917"
2020-07-22,ACFL,18.6,18.6,18.6,18.6,"3,830"
2020-07-21,ACFL,18.6,18.6,18.6,18.6,"5,540"
2020-07-20,ACFL,18.6,18.6,18.6,18.6,10
2020-07-19,ACFL,0,0,0,18.6,0
2020-07-16,ACFL,18.6,18.6,18.6,18.6,5
2020-07-15,ACFL,18.6,18.6,18.6,18.6,300
2020-07-14,ACFL,18.6,18.6,18.6,18.6,"1,000"
2020-07-13,ACFL,18.8,18.6,18.6,18.6,"67,512"
2020-07-12,ACFL,18.9,18.6,18.6,18.6,"96,697"
2020-07-09,ACFL,19.4,18.6,18.6,18.6,"201,275"
2020-07-08,ACFL,18.6,18.6,18.6,18.6,100
2020-07-07,ACFL,18.6,18.6,18.6,18.6,244
2020-07-06,ACFL,18.6,18.6,18.6,18.6,1
2020-07-05,ACFL,18.6,18.6,18.6,18.6,200
2020-07-02,ACFL,18.6,18.6,18.6,18.6,200
2020-08-10,ACI,271,263,269.1,265.2,"146,119"
2020-08-09,ACI,276.2,262.1,262.1,269,"203,746"
2020-08-06,ACI,266,249.7,251,261.9,"153,768"
2020-08-05,ACI,256.1,245.1,255.9,250.6,"93,831"
2020-08-04,ACI,260,248.4,249,255.9,"103,405"
2020-08-03,ACI,254,243.2,245,249,"139,763"
2020-07-30,ACI,245,236,238.7,242.3,"101,852"
2020-07-29,ACI,239.9,231,232,238.8,"136,307"
2020-07-28,ACI,232.5,223,232.5,229.5,"93,345"
2020-07-27,ACI,238.7,225.5,228,234.5,"206,465"
2020-07-26,ACI,229.1,210,210,223.5,"181,208"
2020-07-23,ACI,212.3,208.1,210.3,210.7,"61,508"
2020-07-22,ACI,211.1,208,209.4,210.3,"61,222"
2020-07-21,ACI,210,205.8,206.3,209.4,"64,406"
2020-07-20,ACI,207,203,203,206.4,"58,212"
2020-07-19,ACI,207,203.5,207,205.4,"35,399"
2020-07-16,ACI,209.9,207.6,208,208,"52,204"
2020-07-15,ACI,208.9,205.5,205.6,208.1,"56,084"
2020-07-14,ACI,212.9,206,209.4,207.7,"74,735"
2020-07-13,ACI,215,207.5,213.7,209.3,"71,577"
2020-07-12,ACI,215,205.5,210,213.7,"118,840"
2020-07-09,ACI,210.5,199.6,200.1,208,"167,651"
2020-07-08,ACI,205,199.6,201.9,200.7,"106,796"
2020-07-07,ACI,203.5,196.5,197.8,201.9,"98,599"
2020-07-06,ACI,198.6,191,192.6,197.4,"69,717"
2020-07-05,ACI,197.4,191.5,197.1,192.6,"45,213"
2020-07-02,ACI,203.1,197.3,203.1,198,"65,034"
2020-08-10,ACIFORMULA,127.8,123.2,127.1,125.6,"91,930"
2020-08-09,ACIFORMULA,131,125,127.4,126.4,"70,409"
2020-08-06,ACIFORMULA,127,122.1,122.1,125.5,"85,651"
2020-08-05,ACIFORMULA,128.8,120.7,126.7,122.8,"105,287"
2020-08-04,ACIFORMULA,132.2,126,131.9,126.7,"84,999"
2020-08-03,ACIFORMULA,134,123,125.9,129.4,"92,759"
2020-07-30,ACIFORMULA,127,122.1,124.8,123.9,"88,376"
2020-07-29,ACIFORMULA,126.8,120.4,121,125.4,"148,534"
2020-07-28,ACIFORMULA,121,114.1,118,120.2,"75,211"
2020-07-27,ACIFORMULA,121.3,112.5,112.5,118,"196,646"
2020-07-26,ACIFORMULA,111.9,107,107,110.3,"63,306"
2020-07-23,ACIFORMULA,108.8,105.9,107.4,106.2,"31,459"
2020-07-22,ACIFORMULA,109.9,106.8,108.5,107.4,"32,657"
2020-07-21,ACIFORMULA,108.5,106.2,107,107.5,"26,696"
2020-07-20,ACIFORMULA,108.3,103.5,104,107,"34,186"
2020-07-19,ACIFORMULA,107.9,103.8,107.8,104.7,"42,277"
2020-07-16,ACIFORMULA,109.5,106.3,108.3,106.8,"35,949"
2020-07-15,ACIFORMULA,109.9,107.7,109.1,108.3,"45,707"
2020-07-14,ACIFORMULA,112.8,109,112.8,109.5,"41,272"
2020-07-13,ACIFORMULA,115.4,110.5,113,111.4,"60,456"
2020-07-12,ACIFORMULA,114,108,109.1,113.4,"81,873"
2020-07-09,ACIFORMULA,111.4,107.7,107.7,109.2,"73,515"
2020-07-08,ACIFORMULA,110.8,108,108.8,108.5,"79,218"
2020-07-07,ACIFORMULA,109.9,107.1,108.9,108.8,"49,120"
2020-07-06,ACIFORMULA,108.8,105,106.4,108.1,"34,343"
2020-07-05,ACIFORMULA,108.9,106.1,108.9,106.7,"34,141"
2020-07-02,ACIFORMULA,110.2,107.8,110.2,108.9,"37,951"
2020-08-10,ACMELAB,71.4,68.4,70,69.7,"738,872"
2020-08-09,ACMELAB,70.5,67.5,67.5,69.5,"586,307"
2020-08-06,ACMELAB,67.5,65.8,66.9,67.1,"253,378"
2020-08-05,ACMELAB,68.3,66.1,68.3,66.8,"272,674"
2020-08-04,ACMELAB,68.4,65.3,65.8,68.2,"464,061"
2020-08-03,ACMELAB,66.3,64.6,64.8,65.8,"446,921"
2020-07-30,ACMELAB,64.5,62.8,63.6,64.4,"725,734"
2020-07-29,ACMELAB,63.9,63.2,63.5,63.6,"74,496"
2020-07-28,ACMELAB,64,63.6,63.9,63.6,"116,414"
2020-07-27,ACMELAB,64,63.1,63.3,63.8,"209,900"
2020-07-26,ACMELAB,63.5,62.3,62.4,63.3,"120,544"
2020-07-23,ACMELAB,62.7,62.2,62.7,62.6,"74,833"
2020-07-22,ACMELAB,63,62.4,62.8,62.7,"81,731"
2020-07-21,ACMELAB,63.2,62.7,62.9,62.8,"62,047"
2020-07-20,ACMELAB,63.3,61.2,62.2,63,"116,165"
2020-07-19,ACMELAB,63.5,61.7,63.5,62.3,"114,407"
2020-07-16,ACMELAB,64,63.3,64,63.5,"121,263"
2020-07-15,ACMELAB,64.4,63,63.4,64,"244,354"
2020-07-14,ACMELAB,64.3,62.9,63,63.4,"184,657"
2020-07-13,ACMELAB,64.6,63,63.8,63.3,"194,421"
2020-07-12,ACMELAB,64.1,62.4,63,63.8,"365,920"
2020-07-09,ACMELAB,63.5,62.1,63.2,62.8,"352,739"
2020-07-08,ACMELAB,63.3,61.9,62.3,63.2,"354,604"
2020-07-07,ACMELAB,63,61.7,61.7,62.3,"190,175"
2020-07-06,ACMELAB,62.2,61,61.8,61.6,"208,580"
2020-07-05,ACMELAB,62.1,61.6,62.1,61.8,"124,940"
2020-07-02,ACMELAB,63.4,62,63.4,62.3,"225,686"
2020-08-10,ACTIVEFINE,18.3,17.2,18.2,17.4,"3,796,431"
2020-08-09,ACTIVEFINE,19,17.8,18.2,18.1,"3,764,577"
2020-08-06,ACTIVEFINE,19,17,17.5,18.1,"4,939,054"
2020-08-05,ACTIVEFINE,18,16.6,17.1,17.5,"4,598,881"
2020-08-04,ACTIVEFINE,16.9,15.6,16.5,16.9,"6,180,477"
2020-08-03,ACTIVEFINE,15.4,14.2,14.2,15.4,"2,384,240"
2020-07-30,ACTIVEFINE,14,12.9,12.9,14,"3,550,020"
2020-07-29,ACTIVEFINE,13,12.5,12.6,12.8,"1,199,749"
2020-07-28,ACTIVEFINE,12.6,12.4,12.5,12.5,"666,145"
2020-07-27,ACTIVEFINE,12.6,12.4,12.5,12.4,"511,083"
2020-07-26,ACTIVEFINE,12.6,12.3,12.5,12.5,"350,791"
2020-07-23,ACTIVEFINE,12.5,12.3,12.5,12.3,"493,994"
2020-07-22,ACTIVEFINE,12.8,12.4,12.6,12.5,"325,053"
2020-07-21,ACTIVEFINE,12.6,12.3,12.3,12.6,"624,031"
2020-07-20,ACTIVEFINE,12.5,12.3,12.3,12.4,"469,308"
2020-07-19,ACTIVEFINE,12.5,12.3,12.5,12.3,"251,285"
2020-07-16,ACTIVEFINE,12.6,12.3,12.5,12.5,"509,412"
2020-07-15,ACTIVEFINE,12.9,12.3,12.7,12.5,"979,271"
2020-07-14,ACTIVEFINE,13.3,12.6,13.2,12.7,"566,425"
2020-07-13,ACTIVEFINE,13.6,13,13.5,13.1,"940,115"
2020-07-12,ACTIVEFINE,13.6,13,13.3,13.4,"789,350"
2020-07-09,ACTIVEFINE,13.5,12.3,12.3,13.3,"2,687,788"
2020-07-08,ACTIVEFINE,12.3,12.3,12.3,12.3,"89,746"
2020-07-07,ACTIVEFINE,12.3,12.3,12.3,12.3,"21,847"
2020-07-06,ACTIVEFINE,12.3,12.3,12.3,12.3,"18,506"
2020-07-05,ACTIVEFINE,12.3,12.3,12.3,12.3,"53,500"
2020-07-02,ACTIVEFINE,12.3,12.3,12.3,12.3,"1,100"
2020-08-10,ADNTEL,40.3,38.6,38.8,39,"1,429,969"
2020-08-09,ADNTEL,39.5,38.2,38.9,38.8,"1,362,645"
2020-08-06,ADNTEL,39.5,37.8,38.5,38.5,"736,938"
2020-08-05,ADNTEL,40.5,38,40.5,38.4,"1,129,404"
2020-08-04,ADNTEL,41.9,37.7,40.5,40.2,"1,278,310"
2020-08-03,ADNTEL,41.4,37.7,37.8,40.1,"1,171,811"
2020-07-30,ADNTEL,39,37.1,38.4,37.7,"1,286,372"
2020-07-29,ADNTEL,39.7,37.4,39,38.4,"1,211,482"
2020-07-28,ADNTEL,39.4,36.7,37.3,38.8,"1,353,885"
2020-07-27,ADNTEL,38,36.5,37.8,37.4,"1,602,850"
2020-07-26,ADNTEL,38,35.4,36,37.8,"1,522,624"
2020-07-23,ADNTEL,36.5,34,34,36.2,"1,833,503"
2020-07-22,ADNTEL,34.5,32.8,32.8,34.1,"1,216,653"
2020-07-21,ADNTEL,33,32.1,32.1,32.8,"634,130"
2020-07-20,ADNTEL,32.1,32.1,32.1,32.1,"11,330"
2020-07-19,ADNTEL,32.1,32.1,32.1,32.1,"11,000"
2020-07-16,ADNTEL,32.3,32.1,32.1,32.1,"202,398"
2020-07-15,ADNTEL,34,32.1,34,32.1,"627,524"
2020-07-14,ADNTEL,34,32.1,33.6,32.2,"435,857"
2020-07-13,ADNTEL,35,32.1,32.1,33.6,"1,307,770"
2020-07-12,ADNTEL,32.1,32.1,32.1,32.1,"301,199"
2020-07-09,ADNTEL,32.1,32.1,32.1,32.1,"45,105"
2020-07-08,ADNTEL,32.1,32.1,32.1,32.1,"3,205"
2020-07-07,ADNTEL,32.1,32.1,32.1,32.1,"1,001"
2020-07-06,ADNTEL,32.1,32.1,32.1,32.1,50
2020-07-05,ADNTEL,32.1,32.1,32.1,32.1,150
2020-07-02,ADNTEL,0,0,0,32.1,0
2020-08-10,ADVENT,25.3,24,25.2,24.2,"984,970"
2020-08-09,ADVENT,25.6,24.5,24.7,24.9,"2,010,251"
2020-08-06,ADVENT,24.8,23.9,24.1,24.1,"1,478,836"
2020-08-05,ADVENT,25.5,23.7,25,24,"1,112,000"
2020-08-04,ADVENT,25.5,23.9,24,24.8,"2,164,251"
2020-08-03,ADVENT,24.1,23.3,23.3,23.9,"1,198,226"
2020-07-30,ADVENT,23.2,22.8,22.8,23.1,"884,668"
2020-07-29,ADVENT,22.8,22.8,22.8,22.8,"652,055"
2020-07-28,ADVENT,22.9,22.8,22.9,22.8,"245,595"
2020-07-27,ADVENT,23.2,22.8,23,22.8,"664,438"
2020-07-26,ADVENT,23.2,22.9,22.9,23,"517,217"
2020-07-23,ADVENT,22.9,22.8,22.8,22.8,"260,279"
2020-07-22,ADVENT,23.2,22.8,23.2,22.8,"691,291"
2020-07-21,ADVENT,23.5,23,23.1,23.1,"378,510"
2020-07-20,ADVENT,23.4,22.8,23.2,22.8,"917,683"
2020-07-19,ADVENT,23.7,22.8,23.7,23.1,"502,594"
2020-07-16,ADVENT,24.3,23.5,23.6,23.7,"1,059,126"
2020-07-15,ADVENT,23.6,22.8,22.8,23.5,"1,349,958"
2020-07-14,ADVENT,23,22.8,22.8,22.8,"185,819"
2020-07-13,ADVENT,23.2,22.8,22.8,22.8,"1,015,804"
2020-07-12,ADVENT,23,22.8,22.8,22.8,"237,836"
2020-07-09,ADVENT,23.1,22.8,22.8,22.8,"536,285"
2020-07-08,ADVENT,22.8,22.8,22.8,22.8,"64,673"
2020-07-07,ADVENT,22.8,22.8,22.8,22.8,91
2020-07-06,ADVENT,0,0,0,22.8,0
2020-07-05,ADVENT,22.8,22.8,22.8,22.8,"4,000"
2020-07-02,ADVENT,22.8,22.8,22.8,22.8,10
2020-08-10,AFCAGRO,19.5,18.8,19.1,18.8,"463,675"
2020-08-09,AFCAGRO,19.9,19,19,19.5,"683,614"
2020-08-06,AFCAGRO,19.2,17.6,18,18.9,"449,799"
2020-08-05,AFCAGRO,19.1,17.1,18.7,17.8,"559,837"
2020-08-04,AFCAGRO,19.1,18.2,19,18.7,"375,496"
2020-08-03,AFCAGRO,19.7,18.1,18.1,19,"598,506"
2020-07-30,AFCAGRO,18.3,17,17,18.1,"601,470"
2020-07-29,AFCAGRO,17.2,17,17,17,"139,990"
2020-07-28,AFCAGRO,17,17,17,17,"94,843"
2020-07-27,AFCAGRO,17,17,17,17,"30,081"
2020-07-26,AFCAGRO,17.3,17,17.1,17,"36,725"
2020-07-23,AFCAGRO,17,17,17,17,"85,930"
2020-07-22,AFCAGRO,17.2,17,17,17,"58,535"
2020-07-21,AFCAGRO,17,17,17,17,"36,967"
2020-07-20,AFCAGRO,17,17,17,17,"9,450"
2020-07-19,AFCAGRO,17,17,17,17,800
2020-07-16,AFCAGRO,17,17,17,17,"2,900"
2020-07-15,AFCAGRO,17,17,17,17,"6,700"
2020-07-14,AFCAGRO,17.1,17,17,17,"58,551"
2020-07-13,AFCAGRO,17.3,17,17,17,"44,533"
2020-07-12,AFCAGRO,17.5,17,17.2,17,"83,549"
2020-07-09,AFCAGRO,17.5,17,17,17.2,"238,126"
2020-07-08,AFCAGRO,17,17,17,17,400
2020-07-07,AFCAGRO,17,17,17,17,170
2020-07-06,AFCAGRO,0,0,0,17,0
2020-07-05,AFCAGRO,0,0,0,17,0
2020-07-02,AFCAGRO,17,17,17,17,278
2020-08-10,AFTABAUTO,27.2,26.1,27.2,26.3,"268,951"
2020-08-09,AFTABAUTO,27.4,25.9,25.9,27.2,"363,287"
2020-08-06,AFTABAUTO,25.8,24.6,24.7,25,"321,829"
2020-08-05,AFTABAUTO,25.8,24.6,24.8,25.1,"222,105"
2020-08-04,AFTABAUTO,25.8,24.2,25.4,24.7,"179,220"
2020-08-03,AFTABAUTO,25.3,24,24,25.1,"458,682"
2020-07-30,AFTABAUTO,24.3,23.6,23.6,23.7,"190,027"
2020-07-29,AFTABAUTO,23.6,23.6,23.6,23.6,"8,240"
2020-07-28,AFTABAUTO,23.6,23.6,23.6,23.6,"15,381"
2020-07-27,AFTABAUTO,23.6,23.6,23.6,23.6,"23,153"
2020-07-26,AFTABAUTO,23.6,23.6,23.6,23.6,"12,507"
2020-07-23,AFTABAUTO,23.6,23.6,23.6,23.6,"4,736"
2020-07-22,AFTABAUTO,23.6,23.6,23.6,23.6,"8,753"
2020-07-21,AFTABAUTO,23.6,23.6,23.6,23.6,"7,300"
2020-07-20,AFTABAUTO,23.6,23.6,23.6,23.6,1
2020-07-19,AFTABAUTO,23.6,23.6,23.6,23.6,"14,215"
2020-07-16,AFTABAUTO,23.6,23.6,23.6,23.6,"5,310"
2020-07-15,AFTABAUTO,23.6,23.6,23.6,23.6,"8,905"
2020-07-14,AFTABAUTO,23.7,23.6,23.6,23.6,"41,750"
2020-07-13,AFTABAUTO,24.1,23.6,24,23.6,"122,356"
2020-07-12,AFTABAUTO,24.4,23.6,23.6,23.9,"139,232"
2020-07-09,AFTABAUTO,24.3,23.6,23.6,23.6,"169,043"
2020-07-08,AFTABAUTO,23.6,23.6,23.6,23.6,"1,341"
